"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Seattle Storm","Chicago Sky","2026-07-15","Courtney Vandersloot Under 4.5 AST",0.0213,2.13
"Seattle Storm","Chicago Sky","2026-07-15","Kamilla Cardoso Over 2.5 AST",0.0186,1.86
"Seattle Storm","Chicago Sky","2026-07-15","Natasha Cloud Under 4.5 AST",0.07,7
"Seattle Storm","Chicago Sky","2026-07-15","Azura Stevens Under 13.5 PTS",0.0676,6.76
"Seattle Storm","Chicago Sky","2026-07-15","Courtney Vandersloot Under 8.5 PTS",0.0828,8.28
"Seattle Storm","Chicago Sky","2026-07-15","Flau'jae Johnson Over 13.5 PTS",0.0259,2.59
"Seattle Storm","Chicago Sky","2026-07-15","Jade Melbourne Over 7.5 PTS",0.0585,5.85
"Seattle Storm","Chicago Sky","2026-07-15","Kamilla Cardoso Over 14.5 PTS",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Natasha Cloud Under 11.5 PTS",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Natisha Hiedeman Over 16.5 PTS",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Sydney Taylor Over 15.5 PTS",0.0429,4.29
"Seattle Storm","Chicago Sky","2026-07-15","Azura Stevens Under 24.5 PRA",0.0586,5.86
"Seattle Storm","Chicago Sky","2026-07-15","Courtney Vandersloot Under 16.5 PRA",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Kamilla Cardoso Over 26.5 PRA",0.092,9.2
"Seattle Storm","Chicago Sky","2026-07-15","Natasha Cloud Under 20.5 PRA",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Natisha Hiedeman Over 23.5 PRA",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Awa Fam Over 5.5 REB",0.0692,6.92
"Seattle Storm","Chicago Sky","2026-07-15","Courtney Vandersloot Over 2.5 REB",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Dominique Malonga Over 9.5 REB",0.0457,4.57
"Seattle Storm","Chicago Sky","2026-07-15","Flau'jae Johnson Over 5.5 REB",0.0332,3.32
"Seattle Storm","Chicago Sky","2026-07-15","Kamilla Cardoso Over 8.5 REB",0.0505,5.05
"Seattle Storm","Chicago Sky","2026-07-15","Natasha Cloud Under 4.5 REB",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Natisha Hiedeman Over 2.5 REB",0.1,10
"Seattle Storm","Chicago Sky","2026-07-15","Jade Melbourne Over 13.5 PRA",0.0762,7.62
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Dearica Hamby Under 2.5 AST",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Erica Wheeler Under 5.5 AST",0.0472,4.72
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Kayla McBride Under 2.5 AST",0.0865,8.65
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Natasha Howard Over 2.5 AST",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Nia Coffey Over 2.5 AST",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Ariel Atkins Under 10.5 PTS",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Courtney Williams Under 15.5 PTS",0.0237,2.37
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Dearica Hamby Under 14.5 PTS",0.0799,7.99
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Erica Wheeler Under 9.5 PTS",0.0235,2.35
"Los Angeles Sparks","Minnesota Lynx","2026-07-15","Kayla McBride Over 18.5 PTS",0.1,10
