"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Connecticut Sun","Phoenix Mercury","2026-07-17","Brittney Griner Over 2.5 AST",0.1,10
"Connecticut Sun","Phoenix Mercury","2026-07-17","Charlisse Leger-Walker Over 3.5 AST",0.1,10
"Connecticut Sun","Phoenix Mercury","2026-07-17","Monique Akoa Makani Under 3.5 AST",0.1,10
"Connecticut Sun","Phoenix Mercury","2026-07-17","Brittney Griner Over 13.5 PTS",0.0697,6.97
"Connecticut Sun","Phoenix Mercury","2026-07-17","DeWanna Bonner Under 11.5 PTS",0.1,10
"Connecticut Sun","Phoenix Mercury","2026-07-17","Kahleah Copper Over 21.5 PTS",0.0644,6.44
"Connecticut Sun","Phoenix Mercury","2026-07-17","Olivia Nelson-Ododa Over 11.5 PTS",0.0725,7.25
"Connecticut Sun","Phoenix Mercury","2026-07-17","Alyssa Thomas Under 30.5 PRA",0.059,5.9
"Connecticut Sun","Phoenix Mercury","2026-07-17","Brittney Griner Over 22.5 PRA",0.0629,6.29
"Connecticut Sun","Phoenix Mercury","2026-07-17","DeWanna Bonner Under 20.5 PRA",0.1,10
"Connecticut Sun","Phoenix Mercury","2026-07-17","Monique Akoa Makani Under 16.5 PRA",0.1,10
"Connecticut Sun","Phoenix Mercury","2026-07-17","Alyssa Thomas Under 6.5 REB",0.0615,6.15
"Connecticut Sun","Phoenix Mercury","2026-07-17","Kahleah Copper Over 3.5 REB",0.1,10
"Connecticut Sun","Phoenix Mercury","2026-07-17","Monique Akoa Makani Under 2.5 REB",0.1,10
"Seattle Storm","Indiana Fever","2026-07-17","Awa Fam Over 2.5 AST",0.0416,4.16
"Seattle Storm","Indiana Fever","2026-07-17","Caitlin Clark Over 7.5 AST",0.0325,3.25
"Seattle Storm","Indiana Fever","2026-07-17","Dominique Malonga Over 1.5 AST",0.055,5.5
"Seattle Storm","Indiana Fever","2026-07-17","Flau'jae Johnson Over 2.5 AST",0.0571,5.71
"Seattle Storm","Indiana Fever","2026-07-17","Kelsey Mitchell Over 2.5 AST",0.0952,9.52
"Seattle Storm","Indiana Fever","2026-07-17","Aliyah Boston Over 16.5 PTS",0.0582,5.82
"Seattle Storm","Indiana Fever","2026-07-17","Flau'jae Johnson Over 13.5 PTS",0.0859,8.59
"Seattle Storm","Indiana Fever","2026-07-17","Jade Melbourne Over 8.5 PTS",0.0514,5.14
"Seattle Storm","Indiana Fever","2026-07-17","Kelsey Mitchell Over 22.5 PTS",0.1,10
"Seattle Storm","Indiana Fever","2026-07-17","Monique Billings Under 8.5 PTS",0.0347,3.47
"Seattle Storm","Indiana Fever","2026-07-17","Natisha Hiedeman Over 15.5 PTS",0.1,10
"Seattle Storm","Indiana Fever","2026-07-17","Aliyah Boston Over 28.5 PRA",0.0685,6.85
"Seattle Storm","Indiana Fever","2026-07-17","Awa Fam Under 20.5 PRA",0.0381,3.81
"Seattle Storm","Indiana Fever","2026-07-17","Dominique Malonga Under 29.5 PRA",0.0534,5.34
"Seattle Storm","Indiana Fever","2026-07-17","Flau'jae Johnson Over 22.5 PRA",0.0662,6.62
"Seattle Storm","Indiana Fever","2026-07-17","Natisha Hiedeman Over 22.5 PRA",0.0298,2.98
"Seattle Storm","Indiana Fever","2026-07-17","Aliyah Boston Over 8.5 REB",0.1,10
"Seattle Storm","Indiana Fever","2026-07-17","Awa Fam Under 5.5 REB",0.0484,4.84
"Seattle Storm","Indiana Fever","2026-07-17","Caitlin Clark Under 4.5 REB",0.075,7.5
"Seattle Storm","Indiana Fever","2026-07-17","Dominique Malonga Under 9.5 REB",0.1,10
"Seattle Storm","Indiana Fever","2026-07-17","Natisha Hiedeman Under 2.5 REB",0.0311,3.11
"Seattle Storm","Indiana Fever","2026-07-17","Lexie Hull Under 8.5 PTS",0.1,10
"Seattle Storm","Indiana Fever","2026-07-17","Kelsey Mitchell Over 27.5 PRA",0.1,10
"Seattle Storm","Indiana Fever","2026-07-17","Lexie Hull Under 3.5 REB",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Ariel Atkins Over 2.5 AST",0.0494,4.94
"Los Angeles Sparks","Chicago Sky","2026-07-17","Dearica Hamby Under 2.5 AST",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Erica Wheeler Under 5.5 AST",0.029,2.9
"Los Angeles Sparks","Chicago Sky","2026-07-17","Natasha Cloud Under 5.5 AST",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Ariel Atkins Under 11.5 PTS",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Courtney Vandersloot Under 9.5 PTS",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Dearica Hamby Under 15.5 PTS",0.0541,5.41
"Los Angeles Sparks","Chicago Sky","2026-07-17","Kamilla Cardoso Over 14.5 PTS",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Natasha Cloud Under 11.5 PTS",0.091,9.1
"Los Angeles Sparks","Chicago Sky","2026-07-17","Nneka Ogwumike Over 17.5 PTS",0.0327,3.27
"Los Angeles Sparks","Chicago Sky","2026-07-17","Rae Burrell Over 15.5 PTS",0.0705,7.05
"Los Angeles Sparks","Chicago Sky","2026-07-17","Ariel Atkins Under 16.5 PRA",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Courtney Vandersloot Under 16.5 PRA",0.0609,6.09
"Los Angeles Sparks","Chicago Sky","2026-07-17","Dearica Hamby Under 25.5 PRA",0.0868,8.68
"Los Angeles Sparks","Chicago Sky","2026-07-17","Kamilla Cardoso Over 26.5 PRA",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Natasha Cloud Under 21.5 PRA",0.1,10
"Los Angeles Sparks","Chicago Sky","2026-07-17","Rae Burrell Over 20.5 PRA",0.0339,3.39
"Los Angeles Sparks","Chicago Sky","2026-07-17","Ariel Atkins Under 2.5 REB",0.0195,1.95
"Los Angeles Sparks","Chicago Sky","2026-07-17","Dearica Hamby Over 7.5 REB",0.0693,6.93
"Los Angeles Sparks","Chicago Sky","2026-07-17","Kamilla Cardoso Over 8.5 REB",0.0537,5.37
"Los Angeles Sparks","Chicago Sky","2026-07-17","Natasha Cloud Under 3.5 REB",0.1,10
"Atlanta Dream","Toronto Tempo","2026-07-17","Angel Reese Under 2.5 AST",0.0696,6.96
"Atlanta Dream","Toronto Tempo","2026-07-17","Laura Juskaite Over 1.5 AST",0.1,10
"Atlanta Dream","Toronto Tempo","2026-07-17","Maria Conde Over 2.5 AST",0.1,10
"Atlanta Dream","Toronto Tempo","2026-07-17","Marina Mabrey Over 3.5 AST",0.0712,7.12
"Atlanta Dream","Toronto Tempo","2026-07-17","Rhyne Howard Under 3.5 AST",0.1,10
"Atlanta Dream","Toronto Tempo","2026-07-17","Allisha Gray Under 19.5 PTS",0.0465,4.65
"Atlanta Dream","Toronto Tempo","2026-07-17","Angel Reese Over 16.5 PTS",0.0353,3.53
"Atlanta Dream","Toronto Tempo","2026-07-17","Isabelle Harrison Over 12.5 PTS",0.086,8.6
"Atlanta Dream","Toronto Tempo","2026-07-17","Julie Allemand Under 7.5 PTS",0.0195,1.95
"Atlanta Dream","Toronto Tempo","2026-07-17","Marina Mabrey Over 22.5 PTS",0.07,7
"Atlanta Dream","Toronto Tempo","2026-07-17","Naz Hillmon Under 9.5 PTS",0.0421,4.21
"Atlanta Dream","Toronto Tempo","2026-07-17","Allisha Gray Under 25.5 PRA",0.0714,7.14
"Atlanta Dream","Toronto Tempo","2026-07-17","Isabelle Harrison Over 19.5 PRA",0.0747,7.47
"Atlanta Dream","Toronto Tempo","2026-07-17","Jordin Canada Over 24.5 PRA",0.0305,3.05
"Atlanta Dream","Toronto Tempo","2026-07-17","Laura Juskaite Over 15.5 PRA",0.0196,1.96
"Atlanta Dream","Toronto Tempo","2026-07-17","Maria Conde Over 16.5 PRA",0.0618,6.18
"Atlanta Dream","Toronto Tempo","2026-07-17","Marina Mabrey Over 28.5 PRA",0.0388,3.88
"Atlanta Dream","Toronto Tempo","2026-07-17","Naz Hillmon Under 16.5 PRA",0.0607,6.07
"Atlanta Dream","Toronto Tempo","2026-07-17","Rhyne Howard Under 26.5 PRA",0.0566,5.66
"Atlanta Dream","Toronto Tempo","2026-07-17","Allisha Gray Under 3.5 REB",0.1,10
"Atlanta Dream","Toronto Tempo","2026-07-17","Angel Reese Under 12.5 REB",0.1,10
"Atlanta Dream","Toronto Tempo","2026-07-17","Isabelle Harrison Over 5.5 REB",0.1,10
"Atlanta Dream","Toronto Tempo","2026-07-17","Jordin Canada Over 3.5 REB",0.0858,8.58
"Atlanta Dream","Toronto Tempo","2026-07-17","Naz Hillmon Under 5.5 REB",0.0904,9.04
"Atlanta Dream","Toronto Tempo","2026-07-17","Rhyne Howard Over 3.5 REB",0.0536,5.36
"Atlanta Dream","Toronto Tempo","2026-07-17","Nyara Sabally Under 11.5 PTS",0.0874,8.74
"Atlanta Dream","Toronto Tempo","2026-07-17","Nyara Sabally Under 4.5 REB",0.0625,6.25
"Los Angeles Sparks","Chicago Sky","2026-07-17","Under 183.0",0.1,10
