"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Portland Fire","Connecticut Sun","2026-07-14","Bridget Carleton Under 2.5 AST",0.0515,5.15
"Portland Fire","Connecticut Sun","2026-07-14","Carla Leite Over 5.5 AST",0.1,10
"Portland Fire","Connecticut Sun","2026-07-14","Charlisse Leger-Walker Over 3.5 AST",0.1,10
"Portland Fire","Connecticut Sun","2026-07-14","Aaliyah Edwards Over 8.5 PTS",0.0737,7.37
"Portland Fire","Connecticut Sun","2026-07-14","Brittney Griner Over 13.5 PTS",0.0668,6.68
"Portland Fire","Connecticut Sun","2026-07-14","Carla Leite Over 14.5 PTS",0.0971,9.71
"Portland Fire","Connecticut Sun","2026-07-14","Charlisse Leger-Walker Over 8.5 PTS",0.017,1.7
"Portland Fire","Connecticut Sun","2026-07-14","Emily Engstler Over 8.5 PTS",0.1,10
"Portland Fire","Connecticut Sun","2026-07-14","Megan Gustafson Over 12.5 PTS",0.1,10
"Portland Fire","Connecticut Sun","2026-07-14","Olivia Nelson-Ododa Over 11.5 PTS",0.074,7.4
"Portland Fire","Connecticut Sun","2026-07-14","Sarah Ashlee Barker Over 9.5 PTS",0.0793,7.93
"Portland Fire","Connecticut Sun","2026-07-14","Carla Leite Over 22.5 PRA",0.1,10
"Portland Fire","Connecticut Sun","2026-07-14","Aaliyah Edwards Over 3.5 REB",0.0235,2.35
"Portland Fire","Connecticut Sun","2026-07-14","Bridget Carleton Over 3.5 REB",0.0643,6.43
"Portland Fire","Connecticut Sun","2026-07-14","Carla Leite Over 2.5 REB",0.0877,8.77
"Portland Fire","Connecticut Sun","2026-07-14","Emily Engstler Over 5.5 REB",0.0535,5.35
"Portland Fire","Connecticut Sun","2026-07-14","Sarah Ashlee Barker Over 3.5 REB",0.0841,8.41
"Portland Fire","Connecticut Sun","2026-07-14","Frieda Buhner Over 6.5 PTS",0.0592,5.92
"Portland Fire","Connecticut Sun","2026-07-14","Kennedy Burke Over 8.5 PTS",0.0442,4.42
"Portland Fire","Connecticut Sun","2026-07-14","Brittney Griner Over 22.5 PRA",0.0219,2.19
"Portland Fire","Connecticut Sun","2026-07-14","Sarah Ashlee Barker Over 16.5 PRA",0.06,6
"Washington Mystics","Toronto Tempo","2026-07-14","Maria Conde Over 2.5 AST",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Sonia Citron Over 3.5 AST",0.0912,9.12
"Washington Mystics","Toronto Tempo","2026-07-14","Georgia Amoore Over 6.5 PTS",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Julie Allemand Under 7.5 PTS",0.0516,5.16
"Washington Mystics","Toronto Tempo","2026-07-14","Kiki Iriafen Over 14.5 PTS",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Nyara Sabally Under 10.5 PTS",0.0539,5.39
"Washington Mystics","Toronto Tempo","2026-07-14","Sonia Citron Over 18.5 PTS",0.0504,5.04
"Washington Mystics","Toronto Tempo","2026-07-14","Julie Allemand Under 18.5 PRA",0.0344,3.44
"Washington Mystics","Toronto Tempo","2026-07-14","Kiki Iriafen Over 27.5 PRA",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Sonia Citron Over 25.5 PRA",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Kiki Iriafen Over 10.5 REB",0.0793,7.93
"Washington Mystics","Toronto Tempo","2026-07-14","Michaela Onyenwere Over 2.5 REB",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Nyara Sabally Under 4.5 REB",0.0821,8.21
"Washington Mystics","Toronto Tempo","2026-07-14","Shakira Austin Over 8.5 REB",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Sonia Citron Over 3.5 REB",0.1,10
"Portland Fire","Connecticut Sun","2026-07-14","Bridget Carleton Over 2.5 AST",0.0339,3.39
"Portland Fire","Connecticut Sun","2026-07-14","Bridget Carleton Over 13.5 PTS",0.0334,3.34
"Portland Fire","Connecticut Sun","2026-07-14","Bridget Carleton Over 19.5 PRA",0.0709,7.09
"Portland Fire","Connecticut Sun","2026-07-14","Olivia Nelson-Ododa Over 7.5 REB",0.0499,4.99
"Washington Mystics","Toronto Tempo","2026-07-14","Marina Mabrey Under 3.5 AST",0.0319,3.19
"Washington Mystics","Toronto Tempo","2026-07-14","Isabelle Harrison Over 12.5 PTS",0.0217,2.17
"Washington Mystics","Toronto Tempo","2026-07-14","Maria Conde Under 10.5 PTS",0.037,3.7
"Washington Mystics","Toronto Tempo","2026-07-14","Shakira Austin Over 14.5 PTS",0.0561,5.61
"Washington Mystics","Toronto Tempo","2026-07-14","Marina Mabrey Under 30.5 PRA",0.0204,2.04
"Washington Mystics","Toronto Tempo","2026-07-14","Shakira Austin Over 26.5 PRA",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Julie Allemand Over 3.5 REB",0.1,10
"Washington Mystics","Toronto Tempo","2026-07-14","Laura Juskaite Under 9.5 PTS",0.0257,2.57
"Portland Fire","Connecticut Sun","2026-07-14","Charlisse Leger-Walker Under 8.5 PTS",0.0359,3.59
"Portland Fire","Connecticut Sun","2026-07-14","Kennedy Burke Over 2.5 REB",0.0372,3.72
"Washington Mystics","Toronto Tempo","2026-07-14","Sonia Citron Under 18.5 PTS",0.0742,7.42
