"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Indiana Fever","Minnesota Lynx","2026-08-02","Aliyah Boston Under 8.5 REB",0.1,10
"Indiana Fever","Minnesota Lynx","2026-08-02","Caitlin Clark Under 8.5 AST",0.1,10
"Indiana Fever","Minnesota Lynx","2026-08-02","Courtney Williams Over 3.5 AST",0.0717,7.17
"Indiana Fever","Minnesota Lynx","2026-08-02","Kayla McBride Over 21.5 PRA",0.1,10
"Indiana Fever","Minnesota Lynx","2026-08-02","Kelsey Mitchell Over 22.5 PTS",0.1,10
"Indiana Fever","Minnesota Lynx","2026-08-02","Monique Billings Under 9.5 PTS",0.047,4.7
"Indiana Fever","Minnesota Lynx","2026-08-02","Napheesa Collier Under 29.5 PRA",0.0999,9.99
"Indiana Fever","Minnesota Lynx","2026-08-02","Natasha Howard Over 2.5 AST",0.0584,5.84
"Indiana Fever","Minnesota Lynx","2026-08-02","Olivia Miles Under 7.5 AST",0.1,10
"Los Angeles Sparks","Portland Fire","2026-08-02","Ariel Atkins Over 10.5 PTS",0.0565,5.65
"Los Angeles Sparks","Portland Fire","2026-08-02","Bridget Carleton Over 3.5 REB",0.1,10
"Los Angeles Sparks","Portland Fire","2026-08-02","Cameron Brink Under 11.5 PTS",0.1,10
"Los Angeles Sparks","Portland Fire","2026-08-02","Carla Leite Over 6.5 AST",0.0336,3.36
"Los Angeles Sparks","Portland Fire","2026-08-02","Dearica Hamby Under 7.5 REB",0.1,10
"Los Angeles Sparks","Portland Fire","2026-08-02","Emily Engstler Over 5.5 REB",0.0939,9.39
"Los Angeles Sparks","Portland Fire","2026-08-02","Erica Wheeler Over 5.5 AST",0.1,10
"Los Angeles Sparks","Portland Fire","2026-08-02","Frieda Buhner Over 8.5 PTS",0,0
"Los Angeles Sparks","Portland Fire","2026-08-02","Megan DiLeo Over 14.5 PTS",0.028,2.8
"Los Angeles Sparks","Portland Fire","2026-08-02","Nneka Ogwumike Over 3.5 AST",0.1,10
"Los Angeles Sparks","Portland Fire","2026-08-02","Rae Burrell Over 2.5 AST",0.1,10
"Connecticut Sun","Dallas Wings","2026-08-02","Arike Ogunbowale Over 15.5 PTS",0.0739,7.39
"Connecticut Sun","Dallas Wings","2026-08-02","Azzi Fudd Under 13.5 PTS",0.0444,4.44
"Connecticut Sun","Dallas Wings","2026-08-02","Brittney Griner Over 5.5 REB",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-02","Cecilia Zandalasini Under 8.5 PTS",0.0758,7.58
"Connecticut Sun","Dallas Wings","2026-08-02","Charlisse Leger-Walker Under 7.5 PTS",0.0835,8.35
"Connecticut Sun","Dallas Wings","2026-08-02","Diamond Miller Over 9.5 PTS",0.0375,3.75
"Toronto Tempo","Golden State Valkyries","2026-08-02","Gabby Williams Under 19.5 PRA",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-02","Isabelle Harrison Over 5.5 REB",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-02","Janelle Salaun Over 12.5 PTS",0,0
"Connecticut Sun","Dallas Wings","2026-08-02","Jessica Shepard Over 31.5 PRA",0.0097,0.97
"Toronto Tempo","Golden State Valkyries","2026-08-02","Kayla Thornton Under 15.5 PRA",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-02","Kiki Rice Under 11.5 PTS",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-02","Laura Juskaite Under 4.5 REB",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-02","Maria Conde Under 10.5 PTS",0.0626,6.26
"Toronto Tempo","Golden State Valkyries","2026-08-02","Nyara Sabally Under 4.5 REB",0.0397,3.97
"Connecticut Sun","Dallas Wings","2026-08-02","Olivia Nelson-Ododa Under 13.5 PTS",0.0479,4.79
"Connecticut Sun","Dallas Wings","2026-08-02","Paige Bueckers Over 3.5 REB",0.0361,3.61
"Toronto Tempo","Golden State Valkyries","2026-08-02","Veronica Burton Under 22.5 PRA",0.1,10
"Connecticut Sun","Dallas Wings","2026-08-02","Paige Bueckers Under 6.5 AST",0.0247,2.47
"Toronto Tempo","Golden State Valkyries","2026-08-02","Julie Allemand Under 6.5 PTS",0.0239,2.39
"Toronto Tempo","Golden State Valkyries","2026-08-02","Kayla Thornton Under 16.5 PRA",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-02","Maria Conde Over 4.5 REB",0.0405,4.05
