"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Dearica Hamby Under 2.5 AST",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Erica Wheeler Under 5.5 AST",0.0478,4.78
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Jordin Canada Over 8.5 AST",0.0532,5.32
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Nneka Ogwumike Over 2.5 AST",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Rae Burrell Over 2.5 AST",0.0203,2.03
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Rhyne Howard Under 3.5 AST",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Allisha Gray Under 20.5 PTS",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Ariel Atkins Under 9.5 PTS",0.0913,9.13
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Dearica Hamby Under 16.5 PTS",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Jordin Canada Over 11.5 PTS",0.0607,6.07
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Naz Hillmon Under 9.5 PTS",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Rae Burrell Over 14.5 PTS",0.0782,7.82
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Rhyne Howard Under 19.5 PTS",0.0473,4.73
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Allisha Gray Under 27.5 PRA",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Ariel Atkins Under 15.5 PRA",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Dearica Hamby Under 26.5 PRA",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Jordin Canada Over 24.5 PRA",0.095,9.5
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Naz Hillmon Under 18.5 PRA",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Rhyne Howard Under 28.5 PRA",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Allisha Gray Under 3.5 REB",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Ariel Atkins Under 3.5 REB",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Dearica Hamby Under 7.5 REB",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Jordin Canada Over 3.5 REB",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Naz Hillmon Under 5.5 REB",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Nneka Ogwumike Under 8.5 REB",0.0699,6.99
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Rae Burrell Under 2.5 REB",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Nneka Ogwumike Over 16.5 PTS",0.0631,6.31
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Erica Wheeler Over 5.5 AST",0.0186,1.86
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Rhyne Howard Over 3.5 AST",0.0442,4.42
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Erica Wheeler Over 9.5 PTS",0.072,7.2
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Nneka Ogwumike Over 28.5 PRA",0.1,10
"Los Angeles Sparks","Atlanta Dream","2026-07-13","Rhyne Howard Under 4.5 REB",0.0459,4.59
