"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"New York Liberty","Indiana Fever","2026-07-18","Aliyah Boston Over 2.5 AST",0.0885,8.85
"New York Liberty","Indiana Fever","2026-07-18","Kelsey Mitchell Over 2.5 AST",0.0622,6.22
"New York Liberty","Indiana Fever","2026-07-18","Sabrina Ionescu Under 5.5 AST",0.1,10
"New York Liberty","Indiana Fever","2026-07-18","Aliyah Boston Over 16.5 PTS",0.0189,1.89
"New York Liberty","Indiana Fever","2026-07-18","Breanna Stewart Over 20.5 PTS",0.093,9.3
"New York Liberty","Indiana Fever","2026-07-18","Jonquel Jones Over 14.5 PTS",0.0786,7.86
"New York Liberty","Indiana Fever","2026-07-18","Kelsey Mitchell Over 22.5 PTS",0.1,10
"New York Liberty","Indiana Fever","2026-07-18","Aliyah Boston Over 27.5 PRA",0.0552,5.52
"New York Liberty","Indiana Fever","2026-07-18","Breanna Stewart Over 31.5 PRA",0.0317,3.17
"New York Liberty","Indiana Fever","2026-07-18","Caitlin Clark Under 30.5 PRA",0.0196,1.96
"New York Liberty","Indiana Fever","2026-07-18","Jonquel Jones Over 25.5 PRA",0.077,7.7
"New York Liberty","Indiana Fever","2026-07-18","Kelsey Mitchell Over 27.5 PRA",0.1,10
"New York Liberty","Indiana Fever","2026-07-18","Sabrina Ionescu Under 26.5 PRA",0.0358,3.58
"New York Liberty","Indiana Fever","2026-07-18","Aliyah Boston Over 8.5 REB",0.0376,3.76
"New York Liberty","Indiana Fever","2026-07-18","Caitlin Clark Under 3.5 REB",0.0532,5.32
"New York Liberty","Indiana Fever","2026-07-18","Marine Johannes Under 7.5 PTS",0.0727,7.27
"New York Liberty","Indiana Fever","2026-07-18","Pauline Astier Under 9.5 PTS",0.0302,3.02
"New York Liberty","Indiana Fever","2026-07-18","Pauline Astier Under 15.5 PRA",0.065,6.5
"New York Liberty","Indiana Fever","2026-07-18","Monique Billings Under 5.5 REB",0.0575,5.75
"Washington Mystics","Golden State Valkyries","2026-07-18","Gabby Williams Under 2.5 AST",0.1,10
"Washington Mystics","Golden State Valkyries","2026-07-18","Shakira Austin Under 2.5 AST",0.1,10
"Washington Mystics","Golden State Valkyries","2026-07-18","Sonia Citron Over 2.5 AST",0.0366,3.66
