"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Las Vegas Aces","Indiana Fever","2026-08-06","A'ja Wilson Under 3.5 AST",0.0201,2.01
"Las Vegas Aces","Indiana Fever","2026-08-06","Aliyah Boston Under 9.5 REB",0.1,10
"Toronto Tempo","Portland Fire","2026-08-06","Bridget Carleton Over 3.5 REB",0.0865,8.65
"Las Vegas Aces","Indiana Fever","2026-08-06","Caitlin Clark Under 8.5 AST",0.1,10
"Toronto Tempo","Portland Fire","2026-08-06","Carla Leite Under 7.5 AST",0.0604,6.04
"Las Vegas Aces","Indiana Fever","2026-08-06","Chelsea Gray Over 12.5 PTS",0.0203,2.03
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Courtney Williams Over 3.5 AST",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Dearica Hamby Under 7.5 REB",0.1,10
"Toronto Tempo","Portland Fire","2026-08-06","Emily Engstler Over 17.5 PRA",0.0861,8.61
"Las Vegas Aces","Indiana Fever","2026-08-06","Jackie Young Under 4.5 REB",0.1,10
"Las Vegas Aces","Indiana Fever","2026-08-06","Jewell Loyd Over 8.5 PTS",0.0494,4.94
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Kayla McBride Over 22.5 PRA",0.1,10
"Las Vegas Aces","Indiana Fever","2026-08-06","Kelsey Mitchell Over 24.5 PTS",0.1,10
"Toronto Tempo","Portland Fire","2026-08-06","Maria Conde Over 3.5 AST",0.089,8.9
"Toronto Tempo","Portland Fire","2026-08-06","Marina Mabrey Over 26.5 PRA",0.0208,2.08
"Las Vegas Aces","Indiana Fever","2026-08-06","Monique Billings Over 5.5 REB",0.0332,3.32
"Las Vegas Aces","Indiana Fever","2026-08-06","NaLyssa Smith Under 5.5 REB",0.0783,7.83
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Natasha Howard Over 6.5 REB",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Nneka Ogwumike Over 3.5 AST",0.1,10
"Toronto Tempo","Portland Fire","2026-08-06","Nyara Sabally Under 4.5 REB",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Olivia Miles Over 4.5 REB",0.1,10
"Las Vegas Aces","Indiana Fever","2026-08-06","Under 192.0",0.1,10
"Las Vegas Aces","Indiana Fever","2026-08-06","Aliyah Boston Under 28.5 PRA",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Ariel Atkins Over 9.5 PTS",0.0632,6.32
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Cameron Brink Under 5.5 REB",0.0342,3.42
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Courtney Williams Under 13.5 PTS",0.0732,7.32
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Erica Wheeler Over 4.5 AST",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Kayla McBride Over 17.5 PTS",0.1,10
"Los Angeles Sparks","Minnesota Lynx","2026-08-06","Napheesa Collier Under 29.5 PRA",0.0071,0.71
"Toronto Tempo","Portland Fire","2026-08-06","Bridget Carleton Over 2.5 AST",0.1,10
"Toronto Tempo","Portland Fire","2026-08-06","Julie Allemand Over 2.5 REB",0.1,10
"Toronto Tempo","Portland Fire","2026-08-06","Kiki Rice Under 8.5 PTS",0.1,10
"Toronto Tempo","Portland Fire","2026-08-06","Laura Juskaite Over 9.5 PTS",0.037,3.7
"Toronto Tempo","Portland Fire","2026-08-06","Marina Mabrey Over 19.5 PTS",0.0113,1.13
"Toronto Tempo","Portland Fire","2026-08-06","Nyara Sabally Under 21.5 PRA",0.1,10
