"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Portland Fire","Las Vegas Aces","2026-07-28","A'ja Wilson Under 3.5 AST",0.1,10
"Portland Fire","Las Vegas Aces","2026-07-28","Bridget Carleton Over 2.5 AST",0.0389,3.89
"Portland Fire","Las Vegas Aces","2026-07-28","Chelsea Gray Over 6.5 AST",0.1,10
"Portland Fire","Las Vegas Aces","2026-07-28","A'ja Wilson Under 26.5 PTS",0.0845,8.45
"Portland Fire","Las Vegas Aces","2026-07-28","Bridget Carleton Over 12.5 PTS",0.0343,3.43
"Portland Fire","Las Vegas Aces","2026-07-28","Carla Leite Over 15.5 PTS",0.0417,4.17
"Portland Fire","Las Vegas Aces","2026-07-28","Chelsea Gray Over 11.5 PTS",0.1,10
"Portland Fire","Las Vegas Aces","2026-07-28","Jackie Young Over 17.5 PTS",0.0364,3.64
"Portland Fire","Las Vegas Aces","2026-07-28","NaLyssa Smith Over 11.5 PTS",0.0299,2.99
"Portland Fire","Las Vegas Aces","2026-07-28","A'ja Wilson Under 40.5 PRA",0.1,10
"Portland Fire","Las Vegas Aces","2026-07-28","Bridget Carleton Over 18.5 PRA",0.0866,8.66
"Portland Fire","Las Vegas Aces","2026-07-28","Carla Leite Over 24.5 PRA",0.0369,3.69
"Portland Fire","Las Vegas Aces","2026-07-28","Chelsea Gray Over 22.5 PRA",0.0579,5.79
"Portland Fire","Las Vegas Aces","2026-07-28","Emily Engstler Over 16.5 PRA",0.0686,6.86
"Portland Fire","Las Vegas Aces","2026-07-28","NaLyssa Smith Over 17.5 PRA",0.0201,2.01
"Portland Fire","Las Vegas Aces","2026-07-28","Bridget Carleton Over 3.5 REB",0.1,10
"Portland Fire","Las Vegas Aces","2026-07-28","Carla Leite Over 2.5 REB",0.0389,3.89
"Portland Fire","Las Vegas Aces","2026-07-28","Chelsea Gray Under 3.5 REB",0.1,10
"Portland Fire","Las Vegas Aces","2026-07-28","Emily Engstler Over 5.5 REB",0.0188,1.88
"Portland Fire","Las Vegas Aces","2026-07-28","Jackie Young Under 3.5 REB",0.0441,4.41
"Portland Fire","Las Vegas Aces","2026-07-28","Megan DiLeo Over 13.5 PTS",0.1,10
"Portland Fire","Las Vegas Aces","2026-07-28","Megan DiLeo Over 18.5 PRA",0.1,10
