"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Portland Fire","Washington Mystics","2026-07-16","Bridget Carleton Under 2.5 AST",0.0907,9.07
"Portland Fire","Washington Mystics","2026-07-16","Carla Leite Over 5.5 AST",0.0966,9.66
"Portland Fire","Washington Mystics","2026-07-16","Emily Engstler Over 2.5 AST",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Shakira Austin Under 3.5 AST",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Sonia Citron Over 3.5 AST",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Emily Engstler Under 10.5 PTS",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Georgia Amoore Over 6.5 PTS",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Kiki Iriafen Over 16.5 PTS",0.0387,3.87
"Portland Fire","Washington Mystics","2026-07-16","Michaela Onyenwere Over 9.5 PTS",0.0248,2.48
"Portland Fire","Washington Mystics","2026-07-16","Sarah Ashlee Barker Over 9.5 PTS",0.0679,6.79
"Portland Fire","Washington Mystics","2026-07-16","Sonia Citron Over 16.5 PTS",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Carla Leite Over 23.5 PRA",0.0178,1.78
"Portland Fire","Washington Mystics","2026-07-16","Emily Engstler Under 18.5 PRA",0.0251,2.51
"Portland Fire","Washington Mystics","2026-07-16","Kiki Iriafen Over 29.5 PRA",0.0461,4.61
"Portland Fire","Washington Mystics","2026-07-16","Sarah Ashlee Barker Over 16.5 PRA",0.0222,2.22
"Portland Fire","Washington Mystics","2026-07-16","Sonia Citron Over 23.5 PRA",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Carla Leite Over 2.5 REB",0.0436,4.36
"Portland Fire","Washington Mystics","2026-07-16","Shakira Austin Over 9.5 REB",0.0629,6.29
"Portland Fire","Washington Mystics","2026-07-16","Sonia Citron Over 3.5 REB",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Emily Engstler Over 1.5 AST",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Carla Leite Over 22.5 PRA",0.0191,1.91
"Portland Fire","Washington Mystics","2026-07-16","Sarah Ashlee Barker Over 15.5 PRA",0.0339,3.39
"Portland Fire","Washington Mystics","2026-07-16","Bridget Carleton Over 2.5 AST",0.0137,1.37
"Portland Fire","Washington Mystics","2026-07-16","Sarah Ashlee Barker Under 2.5 AST",0.0307,3.07
"Portland Fire","Washington Mystics","2026-07-16","Carla Leite Over 14.5 PTS",0.0912,9.12
"Portland Fire","Washington Mystics","2026-07-16","Kiki Iriafen Under 16.5 PTS",0.0476,4.76
"Portland Fire","Washington Mystics","2026-07-16","Shakira Austin Over 14.5 PTS",0.0379,3.79
"Portland Fire","Washington Mystics","2026-07-16","Bridget Carleton Over 18.5 PRA",0.0333,3.33
"Portland Fire","Washington Mystics","2026-07-16","Shakira Austin Over 27.5 PRA",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Bridget Carleton Over 3.5 REB",0.1,10
"Portland Fire","Washington Mystics","2026-07-16","Sarah Ashlee Barker Over 4.5 REB",0.0147,1.47
"Portland Fire","Washington Mystics","2026-07-16","Georgia Amoore Under 3.5 AST",0.0281,2.81
"Portland Fire","Washington Mystics","2026-07-16","Kiki Iriafen Under 29.5 PRA",0.0221,2.21
"Portland Fire","Washington Mystics","2026-07-16","Emily Engstler Under 6.5 REB",0.0227,2.27
