"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"New York Liberty","Las Vegas Aces","2026-07-30","Under 180.5",0.0592,5.92
"Connecticut Sun","Chicago Sky","2026-07-30","Under 175.5",0.0759,7.59
"New York Liberty","Las Vegas Aces","2026-07-30","A'ja Wilson Under 39.5 PRA",0.0347,3.47
"New York Liberty","Las Vegas Aces","2026-07-30","Breanna Stewart Over 32.5 PRA",0.1,10
"New York Liberty","Las Vegas Aces","2026-07-30","Chelsea Gray Over 11.5 PTS",0.1,10
"New York Liberty","Las Vegas Aces","2026-07-30","Chelsea Gray Under 3.5 REB",0.0973,9.73
"New York Liberty","Las Vegas Aces","2026-07-30","Jackie Young Under 4.5 REB",0.1,10
"New York Liberty","Las Vegas Aces","2026-07-30","Jewell Loyd Over 8.5 PTS",0.0552,5.52
"New York Liberty","Las Vegas Aces","2026-07-30","Jonquel Jones Over 2.5 AST",0.0694,6.94
"New York Liberty","Las Vegas Aces","2026-07-30","Jonquel Jones Under 13.5 PTS",5e-04,0.05
"New York Liberty","Las Vegas Aces","2026-07-30","NaLyssa Smith Over 9.5 PTS",0.0359,3.59
"New York Liberty","Las Vegas Aces","2026-07-30","Sabrina Ionescu Over 18.5 PTS",0.043,4.3
"New York Liberty","Las Vegas Aces","2026-07-30","Sabrina Ionescu Under 4.5 AST",0.0934,9.34
"Minnesota Lynx","Toronto Tempo","2026-07-30","Courtney Williams Over 4.5 AST",0.1,10
"Minnesota Lynx","Toronto Tempo","2026-07-30","Julie Allemand Over 3.5 REB",0.1,10
"Minnesota Lynx","Toronto Tempo","2026-07-30","Kayla McBride Over 22.5 PRA",0.1,10
"Minnesota Lynx","Toronto Tempo","2026-07-30","Laura Juskaite Over 9.5 PTS",0,0
"Minnesota Lynx","Toronto Tempo","2026-07-30","Maria Conde Over 5.5 REB",0.0563,5.63
"Minnesota Lynx","Toronto Tempo","2026-07-30","Maria Conde Under 11.5 PTS",0.0044,0.44
"Minnesota Lynx","Toronto Tempo","2026-07-30","Marina Mabrey Over 3.5 AST",0.0506,5.06
"Minnesota Lynx","Toronto Tempo","2026-07-30","Marina Mabrey Under 27.5 PRA",0,0
"Minnesota Lynx","Toronto Tempo","2026-07-30","Napheesa Collier Over 7.5 REB",0.1,10
"Minnesota Lynx","Toronto Tempo","2026-07-30","Natasha Howard Over 3.5 AST",0.0802,8.02
"Minnesota Lynx","Toronto Tempo","2026-07-30","Natasha Howard Under 13.5 PTS",0.0143,1.43
"Minnesota Lynx","Toronto Tempo","2026-07-30","Olivia Miles Over 30.5 PRA",0.1,10
"Connecticut Sun","Chicago Sky","2026-07-30","Aneesah Morrow Under 9.5 REB",0.1,10
"Connecticut Sun","Chicago Sky","2026-07-30","Charlisse Leger-Walker Over 2.5 REB",0.1,10
"Connecticut Sun","Chicago Sky","2026-07-30","Courtney Vandersloot Over 8.5 PTS",0.0696,6.96
"Connecticut Sun","Chicago Sky","2026-07-30","Courtney Vandersloot Under 4.5 AST",0.0053,0.53
"Connecticut Sun","Chicago Sky","2026-07-30","Diamond Miller Over 9.5 PTS",0,0
"Connecticut Sun","Chicago Sky","2026-07-30","Kamilla Cardoso Over 14.5 PTS",0.0352,3.52
"Connecticut Sun","Chicago Sky","2026-07-30","Natasha Cloud Under 3.5 REB",0.1,10
"Connecticut Sun","Chicago Sky","2026-07-30","Olivia Nelson-Ododa Over 6.5 REB",0.074,7.4
"Connecticut Sun","Chicago Sky","2026-07-30","Olivia Nelson-Ododa Under 12.5 PTS",0.0121,1.21
"Connecticut Sun","Chicago Sky","2026-07-30","Sydney Taylor Over 2.5 REB",0.0112,1.12
"Connecticut Sun","Chicago Sky","2026-07-30","Charlisse Leger-Walker Over 3.5 REB",0.0481,4.81
"New York Liberty","Las Vegas Aces","2026-07-30","A'ja Wilson Under 9.5 REB",0.0338,3.38
"New York Liberty","Las Vegas Aces","2026-07-30","Marine Johannes Under 7.5 PTS",0.0139,1.39
"New York Liberty","Las Vegas Aces","2026-07-30","NaLyssa Smith Over 10.5 PTS",0.0652,6.52
"New York Liberty","Las Vegas Aces","2026-07-30","Pauline Astier Over 8.5 PTS",0,0
"New York Liberty","Las Vegas Aces","2026-07-30","Pauline Astier Under 3.5 AST",0,0
