"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Dearica Hamby Under 2.5 AST",0.0644,6.44
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Erica Wheeler Over 5.5 AST",0.0801,8.01
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Monique Akoa Makani Under 2.5 AST",0.0297,2.97
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Nneka Ogwumike Over 3.5 AST",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Rae Burrell Over 3.5 AST",0.0295,2.95
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Alyssa Thomas Over 14.5 PTS",0.0644,6.44
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Ariel Atkins Under 10.5 PTS",0.0613,6.13
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Cameron Brink Over 8.5 PTS",0.0872,8.72
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","DeWanna Bonner Over 9.5 PTS",0.0974,9.74
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Dearica Hamby Over 14.5 PTS",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Kahleah Copper Over 21.5 PTS",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Natasha Mack Under 6.5 PTS",0.0162,1.62
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Nneka Ogwumike Over 17.5 PTS",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Ariel Atkins Under 17.5 PRA",0.0869,8.69
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","DeWanna Bonner Over 17.5 PRA",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Dearica Hamby Over 24.5 PRA",0.0322,3.22
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Monique Akoa Makani Under 15.5 PRA",0.054,5.4
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Natasha Mack Over 14.5 PRA",0.0442,4.42
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Nneka Ogwumike Over 29.5 PRA",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Ariel Atkins Under 3.5 REB",0.0809,8.09
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","DeWanna Bonner Over 5.5 REB",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Kahleah Copper Over 3.5 REB",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Monique Akoa Makani Under 2.5 REB",0.0911,9.11
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Natasha Mack Over 7.5 REB",0.1,10
"Phoenix Mercury","Los Angeles Sparks","2026-07-22","Rae Burrell Under 2.5 REB",0.0466,4.66
"Minnesota Lynx","Seattle Storm","2026-07-22","Awa Fam Over 2.5 AST",0.0364,3.64
"Minnesota Lynx","Seattle Storm","2026-07-22","Flau'jae Johnson Over 3.5 AST",0.0256,2.56
"Minnesota Lynx","Seattle Storm","2026-07-22","Jade Melbourne Over 3.5 AST",0.1,10
"Minnesota Lynx","Seattle Storm","2026-07-22","Kayla McBride Under 2.5 AST",0.1,10
"Minnesota Lynx","Seattle Storm","2026-07-22","Natasha Howard Over 2.5 AST",0.1,10
"Minnesota Lynx","Seattle Storm","2026-07-22","Natisha Hiedeman Under 4.5 AST",0.0215,2.15
"Minnesota Lynx","Seattle Storm","2026-07-22","Awa Fam Over 10.5 PTS",0.024,2.4
"Minnesota Lynx","Seattle Storm","2026-07-22","Dominique Malonga Under 15.5 PTS",0.0423,4.23
"Minnesota Lynx","Seattle Storm","2026-07-22","Flau'jae Johnson Over 13.5 PTS",0.1,10
"Minnesota Lynx","Seattle Storm","2026-07-22","Jade Melbourne Over 7.5 PTS",0.1,10
