"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Las Vegas Aces","Chicago Sky","2026-08-01","A'ja Wilson Under 3.5 AST",0.1,10
"Las Vegas Aces","Chicago Sky","2026-08-01","Chelsea Gray Under 6.5 AST",0.0618,6.18
"Las Vegas Aces","Chicago Sky","2026-08-01","Courtney Vandersloot Under 15.5 PRA",0.1,10
"Las Vegas Aces","Chicago Sky","2026-08-01","Jackie Young Under 30.5 PRA",0.1,10
"Las Vegas Aces","Chicago Sky","2026-08-01","Jewell Loyd Over 8.5 PTS",0.005,0.5
"Las Vegas Aces","Chicago Sky","2026-08-01","Kamilla Cardoso Under 25.5 PRA",0,0
"Las Vegas Aces","Chicago Sky","2026-08-01","NaLyssa Smith Over 10.5 PTS",0.0707,7.07
"Las Vegas Aces","Chicago Sky","2026-08-01","Natasha Cloud Under 3.5 REB",0.1,10
"Las Vegas Aces","Chicago Sky","2026-08-01","Sydney Taylor Under 21.5 PRA",0.0152,1.52
"New York Liberty","Phoenix Mercury","2026-08-01","Alyssa Thomas Over 7.5 REB",0,0
"New York Liberty","Phoenix Mercury","2026-08-01","Breanna Stewart Over 33.5 PRA",0.1,10
"New York Liberty","Phoenix Mercury","2026-08-01","DeWanna Bonner Over 5.5 REB",0.1,10
"New York Liberty","Phoenix Mercury","2026-08-01","Jonquel Jones Over 8.5 REB",0.1,10
"New York Liberty","Phoenix Mercury","2026-08-01","Kahleah Copper Under 22.5 PTS",0.0519,5.19
"New York Liberty","Phoenix Mercury","2026-08-01","Natasha Mack Under 5.5 REB",0.1,10
"New York Liberty","Phoenix Mercury","2026-08-01","Pauline Astier Over 8.5 PTS",0.0526,5.26
"New York Liberty","Phoenix Mercury","2026-08-01","Sabrina Ionescu Over 19.5 PTS",0.0629,6.29
