"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Toronto Tempo","Golden State Valkyries","2026-08-04","Gabby Williams Under 2.5 REB",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-04","Janelle Salaun Under 13.5 PTS",0.0278,2.78
"Toronto Tempo","Golden State Valkyries","2026-08-04","Julie Allemand Over 2.5 REB",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-04","Kaitlyn Chen Over 7.5 PTS",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-04","Kayla Thornton Under 8.5 PTS",0.065,6.5
"Toronto Tempo","Golden State Valkyries","2026-08-04","Laura Juskaite Under 4.5 REB",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-04","Maria Conde Over 2.5 AST",0.0828,8.28
"Toronto Tempo","Golden State Valkyries","2026-08-04","Marina Mabrey Over 23.5 PRA",0.0325,3.25
"Toronto Tempo","Golden State Valkyries","2026-08-04","Nyara Sabally Under 11.5 PTS",0.0581,5.81
"Toronto Tempo","Golden State Valkyries","2026-08-04","Veronica Burton Under 21.5 PRA",0.0845,8.45
"Toronto Tempo","Golden State Valkyries","2026-08-04","Cecilia Zandalasini Under 9.5 PTS",0.0897,8.97
"Toronto Tempo","Golden State Valkyries","2026-08-04","Laura Juskaite Over 9.5 PTS",9e-04,0.09
"Toronto Tempo","Golden State Valkyries","2026-08-04","Maria Conde Over 14.5 PRA",0.1,10
"Toronto Tempo","Golden State Valkyries","2026-08-04","Nyara Sabally Under 4.5 REB",0.0397,3.97
