"away_team","home_team","game_date","bet_side","kelly_fraction","bet_amount"
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Gabby Williams Over 2.5 AST",0.0679,6.79
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Monique Akoa Makani Under 2.5 AST",0.0748,7.48
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Veronica Burton Under 6.5 AST",0.0482,4.82
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Cecilia Zandalasini Over 6.5 PTS",0.0196,1.96
"Golden State Valkyries","Phoenix Mercury","2026-07-29","DeWanna Bonner Over 8.5 PTS",0.0265,2.65
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Gabby Williams Under 14.5 PTS",0.0552,5.52
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Kahleah Copper Over 17.5 PTS",0.084,8.4
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Kaitlyn Chen Over 8.5 PTS",0.0648,6.48
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Kayla Thornton Under 9.5 PTS",0.0477,4.77
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Veronica Burton Under 12.5 PTS",0.1,10
"Golden State Valkyries","Phoenix Mercury","2026-07-29","DeWanna Bonner Over 16.5 PRA",0.1,10
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Gabby Williams Under 19.5 PRA",0.0432,4.32
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Kahleah Copper Over 23.5 PRA",0.095,9.5
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Monique Akoa Makani Under 14.5 PRA",0.0451,4.51
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Veronica Burton Under 22.5 PRA",0.1,10
"Golden State Valkyries","Phoenix Mercury","2026-07-29","DeWanna Bonner Over 5.5 REB",0.1,10
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Kahleah Copper Over 3.5 REB",0.1,10
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Kayla Thornton Under 4.5 REB",0.045,4.5
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Monique Akoa Makani Under 2.5 REB",0.0438,4.38
"Atlanta Dream","Dallas Wings","2026-07-29","Allisha Gray Over 2.5 AST",0.0351,3.51
"Atlanta Dream","Dallas Wings","2026-07-29","Azzi Fudd Over 1.5 AST",0.1,10
"Atlanta Dream","Dallas Wings","2026-07-29","Paige Bueckers Over 5.5 AST",0.0798,7.98
"Atlanta Dream","Dallas Wings","2026-07-29","Angel Reese Under 15.5 PTS",0.0233,2.33
"Atlanta Dream","Dallas Wings","2026-07-29","Azzi Fudd Under 13.5 PTS",0.0231,2.31
"Atlanta Dream","Dallas Wings","2026-07-29","Jordin Canada Over 11.5 PTS",0.0521,5.21
"Atlanta Dream","Dallas Wings","2026-07-29","Paige Bueckers Over 19.5 PTS",0.1,10
"Atlanta Dream","Dallas Wings","2026-07-29","Rhyne Howard Under 17.5 PTS",0.1,10
"Atlanta Dream","Dallas Wings","2026-07-29","Angel Reese Under 30.5 PRA",0.097,9.7
"Atlanta Dream","Dallas Wings","2026-07-29","Azzi Fudd Under 17.5 PRA",0.1,10
"Atlanta Dream","Dallas Wings","2026-07-29","Jordin Canada Over 23.5 PRA",0.0598,5.98
"Atlanta Dream","Dallas Wings","2026-07-29","Paige Bueckers Over 30.5 PRA",0.1,10
"Atlanta Dream","Dallas Wings","2026-07-29","Rhyne Howard Under 25.5 PRA",0.1,10
"Atlanta Dream","Dallas Wings","2026-07-29","Angel Reese Under 11.5 REB",0.0749,7.49
"Atlanta Dream","Dallas Wings","2026-07-29","Brionna Jones Over 4.5 REB",0.1,10
"Atlanta Dream","Dallas Wings","2026-07-29","Jessica Shepard Over 11.5 REB",0.0831,8.31
"Atlanta Dream","Dallas Wings","2026-07-29","Jordin Canada Over 3.5 REB",0.0666,6.66
"Atlanta Dream","Dallas Wings","2026-07-29","Naz Hillmon Under 3.5 REB",0.0163,1.63
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Alyssa Thomas Under 8.5 AST",0.0182,1.82
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Alyssa Thomas Over 13.5 PTS",0,0
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Alyssa Thomas Under 29.5 PRA",0.0119,1.19
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Alyssa Thomas Over 7.5 REB",0,0
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Gabby Williams Under 2.5 REB",0,0
"Golden State Valkyries","Phoenix Mercury","2026-07-29","Janelle Salaun Over 3.5 REB",0.0087,0.87
